City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
332,Esperance,-33.8667,121.9,51.26,71,100,6.82,AU,overcast clouds
333,Piripiri,-4.2733,-41.7769,101.37,15,0,6.15,BR,clear sky
334,Peniche,39.3558,-9.3811,73.08,95,82,6.96,PT,broken clouds
335,Eyl,7.9803,49.8164,77.41,79,71,20.76,SO,broken clouds
336,Sakakah,29.9697,40.2064,95.43,15,0,9.06,SA,clear sky
337,Zavetnoye,47.1194,43.8903,62.19,30,5,4.05,RU,clear sky
338,Dunmore Town,25.5,-76.65,83.41,71,9,5.7,BS,clear sky
339,Yaan,7.3833,8.5667,75.22,90,91,5.17,NG,light rain
340,Port Lincoln,-34.7333,135.8667,55.45,87,94,28.07,AU,overcast clouds
341,Ardakan,32.31,54.0175,87.06,9,0,3.36,IR,clear sky
342,Wad Rawah,15.1603,33.1397,92.3,42,50,7.18,SD,scattered clouds
343,Emirdag,39.0197,31.15,64.8,32,0,3.0,TR,clear sky
344,Kabanjahe,3.1001,98.4908,63.34,96,86,2.37,ID,overcast clouds
345,Karpathos,35.507,27.2132,75.16,83,20,23.02,GR,few clouds
